"region","date","value"
"Hillsborough County,FL","8",0
"Duval County,FL","8",0.032258064516129
"Clay County,FL","8",0
"Columbia County,FL","8",0.089171974522293
"Pinellas County,FL","8",0
"Pasco County,FL","8",0
"Osceola County,FL","8",0.333333333333333
"Orange County,FL","8",0.027027027027027
"Putnam County,FL","8",NA
"Alachua County,FL","8",0.0285714285714286
"Volusia County,FL","8",0
"Leon County,FL","8",0.045045045045045
"St. Johns County,FL","8",0
"Miami-Dade County,FL","8",0
"Palm Beach County,FL","8",0
"Broward County,FL","8",0
"Martin County,FL","8",0
"Sumter County,FL","8",0
"Hernando County,FL","8",0
"Collier County,FL","8",0
"Lee County,FL","8",0
"Bay County,FL","8",0
"Indian River County,FL","8",0
"Marion County,FL","8",0
"St. Lucie County,FL","8",0
"Seminole County,FL","8",0
"Charlotte County,FL","8",0
"Citrus County,FL","8",0
"Brevard County,FL","8",0
"Sarasota County,FL","8",0
"Manatee County,FL","8",0
"Polk County,FL","8",0
"Nassau County,FL","8",0
"NULL,FL","8",0
"Flagler County,FL","8",0
"Lake County,FL","8",0
"Hillsborough County,FL","9",0
"Duval County,FL","9",0.0161290322580645
"Clay County,FL","9",0.0666666666666667
"Columbia County,FL","9",0.0445859872611465
"Pinellas County,FL","9",0
"Pasco County,FL","9",0
"Osceola County,FL","9",0.339080459770115
"Orange County,FL","9",0.0315315315315315
"Putnam County,FL","9",NA
"Alachua County,FL","9",0.0571428571428571
"Volusia County,FL","9",0.0769230769230769
"Leon County,FL","9",0.045045045045045
"St. Johns County,FL","9",0
"Miami-Dade County,FL","9",0
"Palm Beach County,FL","9",0
"Broward County,FL","9",0
"Martin County,FL","9",0
"Sumter County,FL","9",0
"Hernando County,FL","9",0
"Collier County,FL","9",0
"Lee County,FL","9",0
"Bay County,FL","9",0
"Indian River County,FL","9",0
"Marion County,FL","9",0
"St. Lucie County,FL","9",0
"Seminole County,FL","9",0
"Charlotte County,FL","9",0
"Citrus County,FL","9",0
"Brevard County,FL","9",0
"Sarasota County,FL","9",0
"Manatee County,FL","9",0
"Polk County,FL","9",0
"Nassau County,FL","9",0
"NULL,FL","9",0
"Flagler County,FL","9",0
"Lake County,FL","9",0
"Hillsborough County,FL","10",0
"Duval County,FL","10",0.0161290322580645
