"zips","lon","lat"
"45406",-84.2436849,39.7822504
"45424",-84.1224036,39.853124
"45801",-84.0801613,40.786903
"45804",-84.0484601,40.7145838
"45807",-84.1751648,40.8018277
"45810",-83.7836403,40.7713127
"45885",-84.3962535,40.5396595
"45895",-84.1935831,40.5678568
"46303",-87.4703029,41.3634692
"46307",-87.3214908,41.3901576
"46312",-87.4504888,41.6428269
"46321",-87.5099057,41.5443613
"46322",-87.4703029,41.5434996
"46323",-87.4504888,41.5829905
"46342",-87.2419299,41.5083014
"46350",-86.7013894,41.5939193
"46368",-87.1722037,41.596455
"46373",-87.4703029,41.443555
"46375",-87.4504888,41.4831184
"46383",-86.9624086,41.4613036
"46514",-85.9815339,41.7204299
"47591",-87.5198011,38.605823
"47838",-87.3612205,38.9788069
"47882",-87.4207518,39.0843122
"48025",-83.266657,42.5246737
"48038",-82.9394002,42.5976588
"48073",-83.15954,42.5183235
"48093",-83.0092803,42.5190114
"48116",-83.7730237,42.5093496
"48152",-83.3682539,42.4279422
"48154",-83.3735966,42.3939863
"48193",-83.1793408,42.1742229
"48301",-83.3041061,42.5415192
"48302",-83.3041061,42.5805638
"48307",-83.1327332,42.6678914
"48322",-83.3468784,42.5440126
"48331",-83.4109834,42.508645
"48346",-83.4323375,42.7244204
"48420",-83.6986568,43.1754912
"49032",-85.5097226,41.9213069
"49085",-86.4693235,42.0537084
"49201",-84.375233,42.3151209
"49417",-86.1955169,43.0147008
"49423",-86.0733498,42.7381514
"49428",-85.8281458,42.9242371
"49544",-85.7564107,43.0283952
"49684",-85.6640365,44.8245398
"50036",-93.8655303,42.0528293
"50072",-94.1309067,41.4672939
"50126",-93.2181477,42.4666849
"50220",-94.1309067,41.825722
"50273",-94.028678,41.3308893
"50401",-93.2181477,43.1683261
"50424",-93.9470396,43.3772889
"50428",-93.3792057,43.1636942
"50436",-93.642048,43.2523362
"50450",-93.5205641,43.4104459
"50459",-93.238251,43.4572735
"50461",-92.797901,43.3146633
"50466",-92.5594214,43.3973939
"50468",-92.9575607,43.0396594
"50472",-92.9575607,43.4263527
"50475",-93.1980527,42.8777022
"50511",-94.2743628,43.0563377
"50517",-94.2128337,43.3099928
"50601",-93.0576199,42.5495017
"50616",-92.6586401,43.0275603
"50636",-92.8178291,42.8681925
"50659",-92.341887,43.0344596
"51449",-94.7484518,42.2760969
"51503",-95.7721204,41.2567691
"52233",-91.6906483,42.0509294
"52302",-91.5789994,42.0871391
"52401",-91.6590662,41.97464
"52402",-91.6663523,42.0166364
"52403",-91.5886966,41.9781094
"53211",-87.879523,43.0824328
"53221",-87.9481846,42.9574195
"53508",-89.5686271,42.8824665
"53562",-89.5308903,43.1156039
"53575",-89.3795835,42.9205564
"53581",-90.4125181,43.3673375
"53593",-89.5686271,42.999243
"53703",-89.3724769,43.0833196
"53704",-89.3511495,43.1438143
"53705",-89.4600369,43.0716332
"53714",-89.3084607,43.099931
"53715",-89.4008958,43.0592056
"53719",-89.5214505,43.0282084
"54011",-92.4801989,44.7300487
"54106",-88.4597673,44.4833103
"54701",-91.5015009,44.7470586
"54814",-90.92587,46.8603131
"54904",-88.6144839,44.0305833
"54911",-88.372493,44.2837065
"54913",-88.4210006,44.3316981
"54914",-88.4306955,44.26558
"54923",-88.9796776,43.9772722
"54929",-88.7686382,44.637647
"54945",-89.1515476,44.5658817
"54949",-88.9222277,44.4885931
"54956",-88.5178518,44.2003965
"54961",-88.7686382,44.4115636
"54981",-89.1134166,44.3391465
"54983",-88.9222277,44.337508
"54984",-89.2277026,44.1884051
"55013",-92.9063127,45.3470698
"55014",-93.1129236,45.1914282
"55024",-93.1378173,44.6200752
"55038",-92.9788268,45.1668854
"55044",-93.2784825,44.6349165
"55056",-92.9734383,45.5054766
"55063",-92.9703854,45.8232502
"55068",-93.0776568,44.7530325
"55069",-92.9521365,45.6951168
"55070",-93.3824875,45.4092789
"55092",-93.0886456,45.3422963
"55112",-93.2015176,45.0766457
"55116",-93.1679257,44.9095374
"55122",-93.2080991,44.8149747
"55124",-93.1980527,44.7497326
"55304",-93.2743378,45.2713588
"55311",-93.4892746,45.1056514
"55330",-93.5691122,45.3377283
"55337",-93.2684215,44.7758378
"55344",-93.4094629,44.865243
"55369",-93.4509124,45.1255339
"55371",-93.6203919,45.5812962
"55372",-93.3993751,44.6689341
"55374",-93.5912944,45.1867927
"55378",-93.3590446,44.7451216
"55398",-93.5831828,45.4502887
"55406",-93.2231727,44.9406559
"55407",-93.2533339,44.9398026
"55411",-93.2983975,44.9944872
"55414",-93.2157342,44.978175
"55416",-93.3439291,44.9465193
"55420",-93.2734517,44.8365032
"55421",-93.2599459,45.0563001
"55431",-93.3086778,44.8308157
"55432",-93.2641955,45.0935798
"55435",-93.3338547,44.8721412
"55443",-93.3337208,45.1243266
"55449",-93.1917398,45.1705157
"55454",-93.2409552,44.9669685
"55455",-93.2342,44.9741561
"55746",-92.9310686,47.3332794
"55768",-92.6243915,47.517241
"55769",-93.1690879,47.5231668
"56270",-94.9974461,44.5727369
"56353",-93.649182,45.8078372
"57028",-96.6210611,44.0941621
"57231",-97.5680595,44.4124458
"57339",-99.4783816,44.0999819
"57345",-99.4117197,44.5744425
"57350",-98.1775638,44.4453916
"57368",-98.4403573,43.7462465
"57382",-98.704075,44.0297714
"57385",-98.265058,44.0624988
"57401",-98.4928586,45.4742195
"57551",-101.7979613,43.103523
"57555",-100.6647101,43.3305588
"57559",-100.7548851,43.8540536
"57568",-100.1255164,43.9119937
"57578",-92.8294539,37.4946995
"57579",-100.7097867,43.5169738
"57620",-102.5124916,45.482572
"57625",-101.0868645,44.9855134
"57626",-102.0716623,45.035801
"57633",-101.4465576,45.40472
"58102",-96.840133,46.9223429
"58501",-100.659753,46.8243438
"59828",-114.0159157,46.3584632
"59840",-114.1157562,46.1535942
"60002",-88.0314174,42.4752471
"60005",-87.9873724,42.0655403
"60007",-88.0020589,42.0113617
"60010",-88.148657,42.1621397
"60048",-87.9432837,42.2868698
"60051",-88.2363819,42.3508086
"60056",-87.9383822,42.0646736
"60060",-88.0314174,42.2785596
